UNIQUE_ID;SOLD_DATE;SOLD_PRICE_EUR;ROOMS;BATHROOMS;SIZE_LIVING;SIZE_FULL;FLOORS;GARAGE;CONDITION_GRADE;SIZE_ABOVE;SIZE_BASEMENT;BUILT_DATE;RENOVATION_DATE;DISTRICT
1001233758;201408;2140000;4;3;;1656;1;0;4;244;114;1975;0;LXVII
1001264957;201505;935000;2;3;156;91;3;0;3;156;0;2009;0;XVII
1001302308;201412;2580000;4;4;515;1431;2;0;3;398;117;2006;0;LXVII
1001363816;201411;320000;6;3;224;1000;1;0;5;122;102;1957;0;III
1001412510;201407;265000;3;2;171;627;1;0;4;118;53;1980;0;LI
1001430147;201409;585000;4;2;211;2520;1;0;5;121;90;1957;0;VIII
1001480375;201408;210000;2;1;78;4613;1;0;2;78;0;1948;0;VI
1001523304;201502;761000;3;4;190;188;2;0;3;141;49;2006;0;XXII
1001539009;201408;465000;4;2;312;1004;2;0;4;312;0;1988;0;XXX
1001561792;201503;290000;4;2;151;708;1,5;0;3;151;0;1967;0;II
1001649490;201504;209950;2;1;98;581;1;0;4;78;20;1943;0;VI
1001706677;201505;365000;3;2;;184;2;0;3;163;20;2003;0;XVIII
1001770434;201411;525000;5;3;368;29906;2;0;4;250;118;1989;0;XLVII
1001876721;201411;485000;3;2;269;3277;2;0;3;269;0;1986;0;XLVII
1001893631;201409;347000;3;1;87;855;1;0;3;87;0;1968;0;XLII
1002031609;201505;374000;3;2;140;1713;1;0;3;140;0;1971;0;LV
1002151321;201408;1020000;4;4;;19244;2;0;3;374;61;2007;0;LIX
1002251616;201503;352000;2;3;;182;1;0;3;61;61;2004;0;XXVI
1002294225;201406;972000;4;2;187;585;1;0;5;150;37;1937;0;I
1002368999;201502;146000;2;1;72;906;1;0;3;72;0;1937;0;VI
1002444141;201408;597000;4;2;197;372;1,5;0;4;160;37;1927;0;XIX
1002524165;201412;389900;3;3;201;5504;1;0;3;201;0;2007;0;XLIV
1002615199;201407;462000;5;2;264;949;1;0;4;205;59;1954;0;V
1002623385;201503;197000;4;2;166;1226;1;0;3;113;53;1979;0;XXXVIII
1002659515;201410;210000;2;1;77;557;1;0;3;77;0;1940;0;XIV
1002661648;201406;464900;4;2;;783;1;0;4;128;59;1979;0;XLVIII
1002689115;201504;641000;5;3;345;806;2;0;3;345;0;1996;0;XXXIX
1002771131;201405;647000;4;3;282;640;2;0;3;282;0;1999;0;XXXIII
1002773617;201503;500000;2;1;151;1120;1;0;3;118;33;1947;0;XV
1002900995;201407;516130;3;2;140;766;1;0;4;140;0;1962;0;LXIII
1002921759;201407;165050;3;1;111;791;1;0;3;111;0;1959;0;LVIII
1002943344;201503;1100000;4;3;239;880;2;0;3;239;0;2006;0;XLIX
1002964732;201407;525000;3;2;196;265;3;0;3;196;0;2001;0;XXVIII
1003121085;201410;725000;5;4;312;557;2;0;3;245;67;1963;1999;XVIII
1003128824;201503;556000;4;3;208;502;2;0;3;208;0;2005;0;XIII
1003153815;201411;210000;3;1;111;697;1;0;3;111;0;1905;1989;IV
1003190447;201411;324360;3;3;186;898;2;0;4;186;0;1992;0;LVIII
1003282508;201411;450000;2;1;110;557;1;0;3;110;0;1910;0;XVII
1003342453;201408;619000;3;3;238;4051;2;0;3;238;0;2002;0;XXXI
1003439810;201501;315000;4;3;258;369;2;0;3;258;0;2005;0;XLIV
1003512438;201409;240000;3;2;131;677;1;0;3;87;44;1980;0;XVIII
1003513269;201407;152000;3;1;84;972;1;0;3;84;0;1965;0;II
1003545330;201412;608000;3;2;160;486;2;0;3;115;45;2011;0;XVIII
1003549038;201406;435000;3;3;214;885;2;0;3;214;0;2003;0;LIX
1003551492;201501;359000;3;2;185;402;2;0;3;185;0;1997;0;XXXIX
1003633536;201410;546200;3;3;249;614;2;0;3;249;0;1998;0;LIV
1003646033;201406;220000;3;2;131;743;1;0;4;131;0;1940;0;IV
1003664420;201405;876650;3;3;;1162;1,5;0;5;153;48;1928;1970;XLV
1003683061;201409;240000;3;2;121;465;1;0;4;121;0;1983;0;II
1003753458;201408;652500;4;2;206;12100;2;0;3;206;0;1989;0;LV
1003815529;201501;2150000;3;3;322;893;3;1;3;322;0;1989;2000;XLVIII
1003820244;201412;406500;3;3;;6362;1;0;3;124;46;1989;0;LX
1003947010;201407;450000;3;3;168;85;3;0;3;128;40;2008;0;XX
1003969293;201406;245700;3;2;;780;1;0;3;110;43;1968;0;L
1004010335;201406;149500;3;1;94;878;1;0;4;94;0;1959;0;II
1004113216;201409;565000;5;4;251;1085;1,5;0;4;181;70;1948;0;XIII
1004121501;201501;1050000;4;3;342;797;1;0;5;171;171;1959;0;XII
1004139055;201504;800000;2;3;223;571;1;0;3;223;0;2003;0;XLI
1004212039;201504;280000;2;1;122;613;1;0;3;122;0;1942;0;VI
1004243262;201412;280000;2;2;182;2800;1;0;3;91;91;1957;0;LI
1004248650;201405;246500;3;2;118;1078;1;0;4;118;0;1964;0;LI
1004263430;201502;640000;3;4;162;183;2;0;3;122;40;1998;0;XVI
1004285340;201409;622500;3;3;213;1335;2;0;3;213;0;1983;2012;XXXII
1004337933;201502;622500;2;2;140;79;3;0;3;132;8;2013;0;XXV
1004347364;201410;1200000;3;3;318;1544;1;0;3;224;94;1991;0;LXV
1004394781;201405;300000;4;3;182;920;2;0;3;182;0;2001;0;LII
1004437848;201411;655000;3;1;118;334;1,5;0;3;118;0;1906;0;XVII
1004469172;201410;1500000;3;4;328;335;2;0;3;220;108;2008;0;XXVIII
1004505622;201409;;4;1;141;678;1,5;0;3;141;0;1960;0;II
1004510122;201406;;2;1;125;938;1;0;4;125;0;1952;0;XLIII
1004517825;201406;;2;2;124;1007;2;0;3;124;0;1985;0;LIV
1004633701;201412;329000;4;3;246;546;2;0;3;246;0;2005;0;XLIV
1004681276;201407;1080000;3;3;305;957;1;0;3;156;149;1970;0;XXI
1004703127;201503;460000;2;1;96;551;1;0;4;96;0;1928;0;XXI
1004718842;201406;530000;3;2;216;2469;2,5;0;3;216;0;1987;0;LXVI
1004733049;201503;355000;4;1;131;715;1,5;0;4;131;0;1953;0;XIII
1004747076;201504;184500;3;2;119;338;2;0;3;119;0;1983;0;LXIX
1004754616;201407;410000;3;2;135;1784;2;0;3;135;0;1989;0;XXXIII
1004809473;201405;1400000;5;4;328;736;2;0;3;328;0;2001;0;XLV
1004813683;201412;432500;3;3;222;598;1;0;3;149;73;1978;0;XLVIII
1004960333;201412;323000;4;2;134;754;1;0;4;134;0;1963;0;VIII
1004996887;201412;549000;3;2;143;97;3;0;3;143;0;2014;0;XXI
1005013251;201408;682000;5;3;256;465;2;0;3;256;0;2005;0;XXXVII
1005053117;201412;880000;3;3;267;480;2;0;3;267;0;2014;0;XXVIII
1005071371;201408;359000;4;3;239;439;2;0;3;239;0;2011;0;LXX
1005114644;201502;2350000;6;4;516;1073;2;0;3;397;119;2014;0;XLIX
1005137312;201501;263500;3;2;124;921;1;0;3;97;27;1981;0;XXXVIII
1005296661;201410;300499;4;3;200;738;2;0;3;200;0;1990;0;XXX
1005373282;201503;1250000;4;3;;1054;2;0;4;343;33;1984;0;LXV
1005381636;201411;316000;3;2;104;9146;1,5;0;4;104;0;1917;0;LVIII
1005479599;201406;880000;4;3;;408;1,5;0;4;216;84;1931;0;XXVII
1005544328;201405;830000;4;3;172;4707;1;0;3;133;39;1978;0;XLII
1005592749;201502;428000;3;3;207;3034;1;0;4;207;0;1977;0;XLIV
1005676917;201412;1000000;4;2;288;743;1,5;0;5;190;98;1939;0;XXVIII
1005714618;201407;550000;3;2;183;387;2;0;5;118;65;1929;0;XIV
1005726070;201408;278000;3;1;80;709;1;0;3;80;0;1920;0;VII
1005761158;201405;657000;4;2;;792;1;0;3;127;127;1954;0;XVIII
1005786163;201410;432500;3;3;180;1003;1;0;3;124;56;1979;0;XXXI
1005880869;201411;238950;2;1;75;449;1;0;3;75;0;1938;0;XL
1005979108;201504;475000;3;3;220;301;2;0;3;181;39;2006;0;XXXIV
1005998023;201503;1490000;3;4;424;1357;2;0;3;424;0;1990;0;XLVIII
1006014524;201408;271675;3;2;199;1214;1;0;4;136;63;1974;0;XXX
1006154091;201411;145000;2;1;74;755;1;0;3;74;0;1964;0;XLIX
1006284155;201407;548800;4;1;154;437;1,5;0;3;117;37;1930;0;XXI
1006399933;201504;343000;3;1;131;1728;1;0;5;131;0;1960;0;XXXVII
1006424698;201408;624000;4;2;252;856;1;0;3;134;118;1961;0;XIV
1006441678;201405;383000;3;1;167;521;1;0;4;111;56;1942;0;XIV
1006461319;201405;372220;3;1;120;511;1;0;3;91;29;1951;0;XII
1006476565;201411;362000;3;3;215;695;2;0;3;215;0;1986;0;XXXVIII
1006489492;201411;420000;3;1;98;710;1;0;5;98;0;1966;0;LXIV
1006520590;201502;900000;3;3;360;3157;2;0;3;293;67;1991;0;LXV
1006525151;201405;545000;3;2;165;17766;2;0;3;165;0;1988;0;XLIII
1006578485;201409;535000;3;3;245;555;2;0;3;245;0;2012;0;XLIII
1006588018;201412;437500;2;1;92;290;1;0;5;73;19;1907;0;XXVIII
1006741281;201503;575000;2;1;116;401;1;0;4;79;37;1911;0;XXVIII
1006822264;201504;425000;2;1;58;414;1;0;3;58;0;1927;0;XIX
1006848961;201502;635000;4;3;232;372;2;0;3;232;0;2014;0;XI
1006891854;201408;330000;4;2;144;4654;1;0;4;144;0;1967;0;LVIII
1006901923;201406;409950;2;2;127;476;1;0;5;127;0;1944;0;XXVIII
1006943177;201408;625000;4;3;296;2583;2;0;3;296;0;1997;0;LXII
1007036633;201504;648000;3;2;150;950;1;0;5;150;0;1961;0;LXV
1007191565;201412;756450;4;2;;780;1,5;0;5;190;109;1914;0;XII
1007207025;201409;585000;3;4;158;204;2;0;3;117;41;2010;0;XX
1007231357;201406;425000;3;2;174;836;1;0;3;134;40;1978;0;LXI
1007234265;201503;1430000;4;5;430;2235;2;0;3;430;0;2005;0;XXXII
1007305828;201407;760000;2;1;131;334;1,5;0;4;122;9;1925;0;XXVIII
1007336504;201410;325000;3;2;155;1586;1;0;3;102;53;1988;0;LX
1007431989;201407;395000;3;2;;751;1;0;3;112;38;1976;0;LXI
1007586922;201503;756100;4;2;186;773;1,5;0;4;186;0;1917;0;XIV
1007627330;201408;285000;3;3;180;917;2;0;3;180;0;1990;0;XLIV
1007632482;201405;451000;3;2;145;376;1,5;0;3;93;52;1926;0;XIV
1007647934;201408;126000;1;1;57;409;1;0;3;57;0;1922;0;XL
1007690677;201503;431000;3;1;139;580;1;0;4;139;0;1953;0;XV
1007695578;201405;429000;3;3;225;4638;2;0;3;173;52;1985;0;LV
1007712500;201407;520000;3;2;138;96;2;0;3;101;37;2008;0;I
1007727705;201502;759000;5;3;324;765;2;0;3;324;0;2005;0;XXXII
1007744014;201412;260000;5;3;240;1045;1;0;3;131;109;1964;0;II
1007764041;201409;514000;3;2;210;5018;1;0;3;135;75;1962;0;XXXIV
1007811460;201501;825000;3;2;179;784;1;0;4;179;0;1953;0;LXVII
1007825192;201504;520500;6;3;;1333;1;0;5;152;22;1955;0;XIII
1007845732;201503;679950;4;3;265;526;2;0;3;265;0;2001;0;XXXII
1007848040;201406;515000;3;3;313;1820;2;0;3;297;16;1951;0;XIII
1007850934;201503;608000;3;2;223;20234;2;0;3;148;75;1975;0;XLVII
1008004030;201504;978000;4;3;268;727;2;0;3;268;0;2014;0;LXV
1008082364;201408;720000;5;3;266;500;2;0;3;266;0;2005;0;XLII
1008083193;201503;1070000;6;3;331;1988;2;0;4;331;0;1952;0;V
1008174772;201409;375000;4;2;164;618;1;0;3;164;0;1958;0;LXIII
1008280616;201503;255000;3;2;138;706;1;0;3;138;0;1990;0;XLIV
1008351160;201406;963000;4;4;305;613;2;0;3;305;0;2007;0;LV
1008411903;201408;898000;3;3;328;906;2;0;3;328;0;1997;0;LXV
1008437163;201408;539950;3;2;145;297;1,5;0;3;145;0;1910;2007;XXIII
1008452007;201408;595000;3;2;142;629;1;0;4;142;0;1984;0;XLIX
1008475097;201405;860000;4;2;347;3012;2;0;3;347;0;2000;0;XLI
1008599432;201405;260000;3;3;132;1380;1;0;4;95;37;1963;0;L
1008664355;201406;223;2;1;85;917;1;0;3;85;0;1957;0;XXXVIII
1008690291;201408;1100000;3;3;237;474;2;0;3;237;0;2014;0;XXI
1008751017;201412;975000;4;2;225;1438;2;0;4;225;0;1925;1997;LXVII
1008877497;201504;515000;3;2;169;1241;1;0;3;113;56;1977;0;XXXII
1008921808;201409;250000;3;2;106;1037;1;0;4;106;0;1998;0;LVIII
1008964580;201503;650000;5;2;;1250;1;0;5;111;111;1957;0;LXIII
1008981572;201504;400000;2;1;85;372;1;0;3;85;0;1918;0;XII
1008982792;201409;566950;3;3;161;177;3;0;3;161;0;2014;0;XIX
1008992833;201504;520000;2;1;88;360;1;0;4;88;0;1919;0;XIX
1009086872;201504;277000;4;1;139;534;1,5;0;3;139;0;1925;0;XL
1009098635;201504;362500;3;4;159;206;2;0;3;130;29;2013;0;XIV
1009117897;201406;860000;4;3;368;651;2;0;3;368;0;2005;0;XXXII
1009164290;201409;305000;4;1;145;785;1,5;0;4;145;0;1954;0;VII
1009237657;201407;580000;3;2;190;446;1;0;4;95;95;1925;0;XIV
1009256153;201405;1260000;4;3;293;1273;2;0;4;293;0;1966;0;XLV
1009279384;201407;370000;3;1;109;103;1;0;3;109;0;1965;0;XIV
1009306227;201409;405000;3;3;192;436;2;0;3;192;0;2002;0;XXXVI
1009309488;201504;385000;3;2;94;686;1;0;3;94;0;1982;0;XXXIII
1009319317;201406;415000;3;3;212;560;2;0;3;212;0;2011;0;LIX
1009370911;201503;674000;5;2;196;465;1,5;0;4;116;80;1946;0;XXI
1009412287;201505;655100;1;1;113;386;1;0;3;113;0;1922;0;XXI
1009479796;201407;1130000;3;2;259;1281;1;0;3;259;0;2006;0;VII
1009622755;201503;402395;4;3;248;500;2;0;3;248;0;2014;0;XXX
1009636912;201411;415000;3;3;119;468;2;0;4;119;0;1985;0;XVIII
1009758655;201504;515000;4;3;172;859;2;0;3;172;0;1997;0;LIV
1009840849;201504;559500;4;2;153;658;1;0;3;153;0;1973;0;LV
1009918783;201501;439000;4;2;;508;1;0;3;84;84;1942;0;XVIII
1009932303;201405;758000;4;3;224;887;1;0;4;165;59;1956;0;XLIX
1009954961;201501;419950;4;2;174;1537;1;0;3;174;0;1969;0;XXXIV
1009982381;201407;552000;3;3;171;920;1;0;3;171;0;1978;0;LXIV
1009995939;201502;988990;4;5;386;586;3;0;3;386;0;2014;0;XLII
1010089218;201408;725000;3;3;317;3811;2;0;3;317;0;1990;0;XLIV
1010118702;201504;359000;4;3;201;418;2;0;3;201;0;2002;0;XXXIX
1010154757;201502;367000;4;1;169;511;1,5;0;3;169;0;1947;0;XXVI
1010214157;201410;1490000;4;4;;569;2;0;3;308;58;2007;0;XXVII
1010263283;201407;230000;3;1;115;576;1;0;3;115;0;1948;0;LIV
1010326457;201406;711000;4;2;184;1003;1;0;5;92;92;1948;0;XLV
1006943177;201408;625000;4;3;296;2583;2;0;3;296;0;1997;0;LXII
1010375765;201407;599000;3;2;238;1364;1;0;3;124;114;1987;0;XLII
1010384407;201408;289275;3;2;266;2234;1;0;3;158;108;1985;0;LIX
1010452605;201503;263950;3;2;158;1079;1;0;5;110;48;1977;0;XXX
1010497924;201503;280000;4;2;149;637;1;0;3;149;0;1994;0;LXVIII
1010519816;201407;587000;5;4;335;4886;2;0;4;335;0;1989;0;LX
1010579736;201406;355000;2;1;115;2512;1;0;3;93;22;1943;0;XXXV
1010675093;201412;256950;2;2;;59;2;0;3;67;33;2008;0;XXVI
1010713274;201503;355425;4;3;301;847;1;0;4;156;145;1979;0;II
1010713429;201406;415000;3;2;99;743;1;0;3;99;0;1977;0;XLII
1010719087;201503;850000;3;3;312;809;2;0;3;312;0;2006;0;XLI
1010719807;201503;461500;5;3;262;304;2;0;3;207;55;2006;0;XVIII
1010724972;201501;348000;3;2;124;629;1;0;4;124;0;1952;0;VIII
1010744320;201503;395000;3;3;214;830;2;0;3;214;0;1989;0;LI
1010804862;201405;446000;4;2;211;725;1;0;3;120;91;1977;0;XLVIII
1010820615;201504;370228;4;3;190;372;2;0;3;190;0;2014;0;LXX
1010869857;201411;443000;3;3;226;655;2;0;3;226;0;2007;0;XXVI
1010908920;201503;163000;2;2;116;701;1;0;3;116;0;1962;0;II
1010965528;201503;338000;5;3;223;418;2;0;3;223;0;2004;0;XLIV
1011002979;201501;465000;3;3;252;1666;2;0;3;252;0;2005;0;LXX
1011022981;201502;270500;3;2;181;800;1;0;4;153;28;1960;0;L
1011059421;201504;1390000;4;2;273;1894;2;0;4;273;0;1970;0;LXVII
1011182302;201503;1300000;4;3;285;372;2;0;4;192;93;1940;0;XXVII
1011321326;201408;295000;3;2;139;1416;1;0;3;139;0;1925;1998;XXXV
1011327005;201408;249000;3;2;;669;1;0;4;100;46;1976;0;XXX
1011334648;201407;507500;3;2;185;891;1;0;3;111;74;1977;0;XLII
1011346314;201407;241000;3;2;141;662;1;0;3;141;0;1993;0;LVII
1011348704;201409;334950;3;2;175;1511;1;0;5;175;0;1980;0;XXXVII
1011377177;201504;332000;4;3;184;610;2;0;3;184;0;2004;0;XLIV
1011395089;201504;820000;4;3;227;533;2;0;4;158;69;1929;0;XVII
1011399047;201409;525000;2;2;;134;2;0;3;100;50;2007;0;XI
1011529935;201412;800000;4;3;427;6259;2;0;3;427;0;1990;0;XLI
1011565013;201411;380950;2;1;133;726;1;0;3;103;30;1944;0;XV
1011602238;201408;1980000;4;4;405;1122;2;0;3;405;0;2007;0;LXVII
1011635735;201505;95000;1;1;71;534;1;0;4;71;0;1915;0;LXIX
1011680475;201406;357186;2;2;112;97;2;0;3;112;0;2014;0;LIII
1011698010;201408;2200000;5;3;484;3323;2,5;0;5;459;25;1911;0;XII
1011739373;201406;616000;4;3;231;1201;2;0;3;231;0;1983;0;XXXIII
1011827000;201504;285000;4;3;185;422;2;0;3;185;0;2009;0;XLIV
1011846118;201504;575000;3;1;113;525;1;0;3;113;0;1905;0;XX
1011851466;201406;455000;3;2;137;432;2;0;4;137;0;1985;0;LIII
1011881574;201410;815000;4;4;282;372;2;0;3;218;64;2013;0;LIII
1012070186;201409;410000;4;2;200;2540;2;0;5;200;0;1976;0;XXXVII
1012113140;201410;810000;4;1;200;333;2;0;4;172;28;1926;0;XIV
1012229623;201411;218000;4;1;152;971;1;0;3;88;64;1963;0;LVII
1012276731;201408;1850000;5;2;260;784;2;1;3;260;0;1963;2001;XXXII
1012405750;201407;720000;4;2;224;780;2;0;5;224;0;1965;0;LXIII
1012406721;201408;461000;3;2;172;736;1;0;4;107;65;1977;0;XLIX
1012438542;201409;485000;3;3;211;733;2;0;3;211;0;2004;0;XXXVI
1012438996;201502;545000;4;2;190;4978;1;0;5;108;82;1959;0;XLVII
1012475668;201411;310000;3;3;208;534;2;0;3;208;0;2012;0;XXX
1012514528;201411;399000;3;1;92;395;1;0;4;78;14;1924;0;XII
1012602891;201501;420000;7;3;273;801;1;0;3;157;116;1977;0;VIII
1012704099;201503;335000;3;2;106;1476;1;0;3;78;28;1985;0;XLIII
1012714014;201407;330000;3;2;;370;1;0;5;124;77;1919;0;XX
1012714640;201501;180500;3;2;143;910;1;0;3;94;49;1973;0;XXXVIII
1012762865;201505;432000;3;2;130;593;1;0;4;65;65;1924;0;XV
1012793632;201405;293000;4;3;302;21838;1;0;3;302;0;1973;0;XXX
1012874887;201409;255000;2;1;87;867;1;0;3;87;0;1941;0;XVIII
1012895398;201407;679000;4;3;195;416;1,5;0;4;165;30;1928;0;XXVII
1012897173;201412;410000;3;2;124;927;1;0;4;124;0;1961;0;XLIX
1012944351;201408;222000;2;2;126;307;2;0;3;126;0;2004;0;XLVII
1013030524;201411;353000;4;3;178;465;2;0;3;178;0;2012;0;LXX
1013032161;201412;835000;3;2;138;357;2;0;3;138;0;1984;2014;XLIX
1013121849;201406;369990;4;3;182;663;2;0;3;182;0;2002;0;XXXIX
1013137658;201408;255000;3;2;138;614;1;0;4;138;0;1918;0;VII
1013177951;201406;570000;3;2;176;2711;1;0;3;137;39;1949;2013;LXV
1013191973;201410;825000;4;2;226;934;2;0;4;226;0;1979;0;LXV
1013205412;201501;680000;4;3;253;5021;2;0;3;253;0;1985;0;XXXIV
1013209361;201407;785000;4;3;213;1246;2;0;4;213;0;1981;0;LXIV
1013238044;201409;440000;3;2;195;2762;1;0;4;100;95;1957;0;VIII
1013299696;201410;550120;5;3;243;748;1;0;3;141;102;1975;0;XLII
1013375205;201406;285000;3;3;154;582;2;0;3;154;0;2003;0;XLIV
1013446404;201409;490500;3;2;279;2033;2;0;3;183;96;1998;0;LXI
1013505545;201503;480000;4;3;203;916;2;0;3;203;0;1997;0;XLIII
1013516385;201410;212000;3;2;157;892;1;0;3;112;45;1976;0;XLVII
1013522992;201406;402500;3;3;258;372;2;0;3;258;0;2009;0;LIX
1013548057;201406;290000;2;1;86;719;1;0;3;86;0;1924;0;XV
1013580433;201405;1100000;3;2;222;640;2;0;5;222;0;1939;0;XXI
1013630625;201504;785000;4;3;298;2279;1,5;0;3;298;0;1984;0;XXXIII
1013657902;201504;284200;3;3;146;863;1;0;3;103;43;1977;0;LXX
1013788568;201410;295000;3;3;136;737;2;0;3;136;0;1995;0;XLVII
1013812017;201505;525000;4;3;214;2476;1;0;4;214;0;1950;0;V
1013850311;201405;1400000;3;3;237;669;2;0;3;237;0;1981;2013;XI
1013909660;201504;198000;3;1;80;482;1;0;4;80;0;1968;0;XLIV
1013939308;201502;562000;3;2;;483;1;0;5;137;97;1925;0;XXVI
1013954866;201409;195000;3;2;98;513;1;0;5;98;0;1969;0;XLIV
1014096598;201501;220000;3;1;;587;1;0;3;83;19;1954;0;X
1014167965;201405;500000;3;3;180;3490;1;0;4;180;0;1987;0;LV
1014198464;201405;452000;4;1;112;349;1,5;0;3;112;0;1900;0;XXVIII
1014245421;201412;210000;1;1;98;704;1;0;4;98;0;1947;0;XIII
1014280701;201408;690000;4;4;298;655;2;0;4;298;0;1985;0;XLII
1014427563;201412;517000;3;2;162;929;1;0;3;162;0;1976;2009;XXXIII
1014434471;201409;834500;3;2;258;557;1;0;4;155;103;1948;0;I
1014440634;201408;733000;3;2;;284;1;0;5;88;73;1930;2014;XXI
1014446130;201502;1400000;3;3;270;933;2;0;4;270;0;1989;0;LXVII
1014476246;201411;595000;4;3;195;290;2;0;3;130;65;1907;1993;XXV
1014508540;201407;711600;4;3;;865;2,5;0;3;220;112;1991;0;LXIV
1014515103;201412;306000;3;2;116;808;1;0;4;116;0;1959;0;VI
1014543216;201408;775000;5;3;242;398;2;0;3;242;0;2014;0;XII
1014610001;201406;665900;4;2;;507;2;0;4;206;60;1926;0;X
1014627694;201504;205000;3;1;90;715;1;0;4;90;0;1959;0;L
1014635990;201407;600000;4;3;280;739;2;0;3;280;0;2000;0;XXXIX
1014656674;201407;825000;4;2;196;1176;2;0;4;196;0;1972;0;XLV
1014680240;201410;278000;3;2;;844;1;0;4;191;60;1965;0;LXX
1014687829;201409;505000;4;2;218;1165;2;0;3;218;0;1968;0;V
1014756105;201410;500000;4;2;231;2181;2;0;3;231;0;1981;0;XXXIV
1014806344;201405;600000;3;2;175;591;1;0;4;97;78;1945;0;XXI
1014823482;201501;729000;4;4;285;505;3;0;3;285;0;2014;0;XXXIX
1014831857;201502;329800;4;3;193;655;2;0;3;193;0;1996;0;XXX
1014853702;201504;479000;4;3;220;2822;2;0;3;220;0;1996;0;XLIV
1014866085;201408;500000;2;1;89;465;1;0;4;89;0;1900;0;XXV
1014875873;201407;655000;3;2;131;446;1,5;0;4;131;0;1927;0;XVIII
1014971685;201503;185000;3;2;111;172;2;0;3;111;0;1966;0;XL
1015019822;201408;325000;4;3;260;492;2;0;3;260;0;2011;0;LVIII
1015029662;201407;572650;4;3;209;1054;2;0;3;209;0;1991;0;XLVIII
1015040843;201406;399950;2;1;66;107;2;0;4;66;0;1943;0;XXIX
1015043650;201408;1200000;5;4;252;260;3;0;3;221;31;1974;2008;XVII
1015078687;201412;279000;3;3;154;686;2;0;3;154;0;2003;0;XLVII
1015186042;201406;350000;4;3;238;521;2;0;3;238;0;2004;0;XXX
1015214623;201412;1500000;4;3;359;669;2;0;3;267;92;2005;0;XXI
1015388993;201408;420000;3;3;251;4371;2;0;4;146;105;1986;0;XXXVIII
1015391228;201408;870000;3;2;;465;2;0;4;204;20;1925;0;XXVIII
1015449829;201504;450000;3;2;129;978;1;0;3;129;0;1961;0;XLIX
1015480120;201409;665000;4;4;350;4411;2;0;3;350;0;2003;0;LXII
1015513189;201410;425000;3;1;166;557;1,5;0;2;166;0;1937;0;XXIV
1015798412;201412;609000;6;3;229;861;2;0;3;229;0;1982;0;LXIV
1015807323;201405;522000;4;2;167;801;1;0;4;126;41;1980;0;XLIX
1015810468;201406;610750;4;2;203;678;2;0;3;203;0;1984;0;XXXIII
1015839211;201406;1710000;3;3;273;505;3;0;4;227;46;1978;0;XXIII
1015853881;201505;200000;2;2;126;176;2;0;3;126;0;1978;0;XXX
1015930268;201502;449000;5;2;160;1304;1;0;4;107;53;1956;0;XIII
1015934438;201411;199950;3;1;124;674;1,5;0;3;124;0;1944;0;IV
1016044513;201504;625000;3;3;210;511;1,5;0;3;119;91;1910;0;XIX
